Strain,Event
A-1,IS150
A-1,IS150
A-1,IS150
A-1,IS186
A-1,IS186
A-1,IS150
A-1,IS186
A-3,IS150
A-3,IS1
A-3,IS150
A-3,IS3
A-3,IS1
A-3,IS150
A-3,IS186
A-3,IS186
A-3,IS150
A-3,IS150
A-3,IS150
A-3,IS150
A-3,IS150
A-3,IS186
A-3,IS150
A-3,IS150
A-3,IS150
A-3,IS150
A-3,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS186
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS1
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS186
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS150
A+1,IS1
A+1,IS150
A+2,IS1
A+2,IS186
A+2,IS186
A+2,IS186
A+2,IS150
A+2,IS1
A+2,IS150
A+2,IS1
A+4,IS150
A+4,IS4
A+4,IS4
A+4,IS4
A+4,IS150
A+4,IS1
A+5,IS150
A+5,IS150
A+5,IS186
A+5,IS1
A+5,IS150
A+5,IS186
A+5,IS186
A+5,IS150
A+5,IS150
A+5,IS1
A-5,IS1
A-5,IS150
A-5,IS150
A-5,IS150
A-5,IS150
A-5,IS186
A-5,IS150
A-5,IS186
A-5,IS1
A-5,IS150
A-5,IS186
A-5,IS186
A-5,IS150
A-5,IS150
A-6,IS150
A-6,IS150
A-6,IS150
A-6,IS150
A-6,IS4
A-6,IS186
A-6,IS150
A-6,IS3
A-6,IS150
A-6,IS150
A-6,IS186
A-6,IS150
A-6,IS150
A-6,IS1
A-6,IS150
A-6,IS150
A-6,IS150
A-6,IS1
